1 1
x	sin(x+y)
0.01	0.019998667
0.02	0.039989334
0.03	0.059964006
0.04	0.079914694
0.05	0.099833417
0.06	0.119712207
0.07	0.139543115
0.08	0.159318207
0.09	0.179029573
0.1	0.198669331
0.11	0.218229623
0.12	0.237702626
0.13	0.257080552
0.14	0.276355649
0.15	0.295520207
0.16	0.314566561
0.17	0.333487092
0.18	0.352274233
0.19	0.370920469
0.2	0.389418342
0.21	0.407760453
0.22	0.425939465
0.23	0.443948107
0.24	0.461779176
0.25	0.479425539
0.26	0.496880138
0.27	0.514135992
0.28	0.531186198
0.29	0.548023937
0.3	0.564642473
0.31	0.581035161
0.32	0.597195441
0.33	0.613116852
0.34	0.628793024
0.35	0.644217687
0.36	0.659384672
0.37	0.674287912
0.38	0.688921445
0.39	0.703279419
0.4	0.717356091
0.41	0.73114583
0.42	0.74464312
0.43	0.757842563
0.44	0.770738879
0.45	0.78332691
0.46	0.79560162
0.47	0.8075581
0.48	0.819191568
0.49	0.83049737
0.5	0.841470985
0.51	0.852108022
0.52	0.862404227
0.53	0.872355482
0.54	0.881957807
0.55	0.89120736
0.56	0.900100442
0.57	0.908633496
0.58	0.916803109
0.59	0.924606012
0.6	0.932039086
0.61	0.939099356
0.62	0.945783999
0.63	0.952090342
0.64	0.95801586
0.65	0.963558185
0.66	0.9687151
0.67	0.973484542
0.68	0.977864602
0.69	0.98185353
0.7	0.98544973
0.71	0.988651763
0.72	0.991458348
0.73	0.993868363
0.74	0.995880845
0.75	0.997494987
0.76	0.998710144
0.77	0.999525831
0.78	0.99994172
0.79	0.999957646
0.8	0.999573603
0.81	0.998789743
0.82	0.997606381
0.83	0.99602399
0.84	0.994043202
0.85	0.99166481
0.86	0.988889766
0.87	0.985719179
0.88	0.982154317
0.89	0.978196607
0.9	0.973847631
0.91	0.969109129
0.92	0.963982996
0.93	0.958471283
0.94	0.952576194
0.95	0.946300088
0.96	0.939645474
0.97	0.932615014
0.98	0.925211521
0.99	0.917437955
1	0.909297427
1.01	0.900793192
1.02	0.891928651
1.03	0.882707351
1.04	0.87313298
1.05	0.863209367
1.06	0.852940482
1.07	0.842330432
1.08	0.831383461
1.09	0.820103948
1.1	0.808496404
1.11	0.796565472
1.12	0.784315925
1.13	0.771752662
1.14	0.758880708
1.15	0.745705212
1.16	0.732231444
1.17	0.718464793
1.18	0.704410766
1.19	0.690074984
1.2	0.675463181
1.21	0.660581201
1.22	0.645434998
1.23	0.63003063
1.24	0.614374258
1.25	0.598472144
1.26	0.58233065
1.27	0.56595623
1.28	0.549355436

