2 2
ZA	ZB		
3	9	1	0
3	17	1	0
3	35	1	0
3	53	1	0
4	8	0	1
4	16	0	1
4	34	0	1
4	52	0	1
5	7	0	1
5	15	0	1
5	33	0	1
11	9	1	0
11	17	1	0
11	35	1	0
11	53	1	0
12	8	1	0
12	16	1	0
12	34	1	0
12	52	1	0
13	7	0	1
13	15	0	1
13	33	0	1
13	51	0	1
14	6	0	1
19	9	1	0
19	17	1	0
19	35	1	0
19	53	1	0
20	8	1	0
20	16	1	0
20	34	1	0
20	52	1	0
29	9	1	0
29	17	0	1
29	35	0	1
29	53	0	1
30	8	0	1
30	16	0	1
30	34	0	1
30	52	0	1
31	7	0	1
31	15	0	1
31	33	0	1
31	51	0	1
37	9	1	0
37	17	1	0
37	35	1	0
37	53	1	0
38	8	1	0
38	16	1	0
38	34	1	0
38	52	1	0
47	9	1	0
47	17	1	0
47	35	1	0
47	53	0	1
48	8	1	0
48	16	0	1
48	34	0	1
48	52	0	1
49	7	0	1
49	15	0	1
49	33	0	1
49	51	0	1
5	51	0	1
55	9	1	0
55	17	1	0
55	35	1	0
55	53	1	0
56	8	1	0
56	16	1	0
56	34	1	0
56	52	1	0
32	6	0	1
50	6	0	1
32	14	0	1
50	14	0	1
50	32	0	1
